num 	 Acumtime 	 TimeIns
0 	 0 	 0
1 	 1 	 1
2 	 1 	 0
3 	 2 	 1
4 	 2 	 0
5 	 3 	 1
6 	 3 	 0
7 	 4 	 1
8 	 4 	 0
9 	 5 	 1
10 	 5 	 0
11 	 6 	 1
12 	 6 	 0
13 	 7 	 1
14 	 8 	 1
15 	 8 	 0
16 	 9 	 1
17 	 9 	 0
18 	 10 	 1
19 	 11 	 1
20 	 12 	 1
21 	 12 	 0
22 	 13 	 1
23 	 14 	 1
24 	 14 	 0
25 	 15 	 1
26 	 16 	 1
27 	 17 	 1
28 	 18 	 1
29 	 19 	 1
30 	 20 	 1
31 	 21 	 1
32 	 22 	 1
33 	 23 	 1
34 	 23 	 0
35 	 24 	 1
36 	 26 	 2
37 	 27 	 1
38 	 28 	 1
39 	 28 	 0
40 	 29 	 1
41 	 31 	 2
42 	 32 	 1
43 	 33 	 1
44 	 34 	 1
45 	 36 	 2
46 	 37 	 1
47 	 38 	 1
48 	 39 	 1
49 	 41 	 2
TOTAL50 	 50
