num 	 Acumtime 	 TimeIns
1 	 49 	 49
2 	 97 	 48
3 	 146 	 49
4 	 195 	 49
5 	 247 	 52
6 	 300 	 53
7 	 353 	 53
8 	 407 	 54
9 	 463 	 56
10 	 519 	 56
11 	 575 	 56
12 	 630 	 55
13 	 686 	 56
14 	 743 	 57
15 	 800 	 57
16 	 858 	 58
17 	 917 	 59
18 	 978 	 61
19 	 1036 	 58
20 	 1098 	 62
TOTAL20 	 1098
