num 	 Acumtime 	 TimeIns
1 	 17 	 17
2 	 37 	 18
3 	 57 	 19
4 	 77 	 19
5 	 98 	 20
6 	 118 	 19
7 	 139 	 20
8 	 160 	 20
9 	 182 	 20
10 	 208 	 24
TOTAL10 	 210
