Creating cluster of 100 nodes
Percentage Leaving 20%
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
b207624f8aac        etcd44              3.05%               159.4MiB / 62.13GiB   0.25%               0B / 0B             0B / 1.11MB         18
e6a069e8bcd0        etcd43              2.42%               209.9MiB / 62.13GiB   0.33%               0B / 0B             0B / 1.11MB         18
1db3ab5627fa        etcd42              2.85%               214.3MiB / 62.13GiB   0.34%               0B / 0B             0B / 1.11MB         20
d2fbd041bd1f        etcd41              2.87%               216.3MiB / 62.13GiB   0.34%               0B / 0B             0B / 1.12MB         18
5c95ce7f4ec8        etcd40              3.08%               216.4MiB / 62.13GiB   0.34%               0B / 0B             0B / 1.14MB         18
24904bc6f99d        etcd39              2.68%               195.9MiB / 62.13GiB   0.31%               0B / 0B             0B / 1.1MB          19
0451afbccaf7        etcd38              2.66%               190.3MiB / 62.13GiB   0.30%               0B / 0B             0B / 1.14MB         18
f24cbd1531c3        etcd37              2.87%               194.2MiB / 62.13GiB   0.31%               0B / 0B             0B / 1.13MB         21
6c99533c8514        etcd36              2.50%               253.4MiB / 62.13GiB   0.40%               0B / 0B             0B / 1.13MB         19
3f10ce8c9df9        etcd35              2.68%               158.5MiB / 62.13GiB   0.25%               0B / 0B             0B / 1.12MB         18
82591acfdad2        etcd34              2.40%               178MiB / 62.13GiB     0.28%               0B / 0B             0B / 1.14MB         18
b843c5f40221        etcd33              2.85%               182.7MiB / 62.13GiB   0.29%               0B / 0B             0B / 1.14MB         18
1dd9cb42f97a        etcd32              2.53%               228.3MiB / 62.13GiB   0.36%               0B / 0B             0B / 1.13MB         17
a900989ab26c        etcd31              1.99%               225MiB / 62.13GiB     0.35%               0B / 0B             0B / 1.13MB         19
11f08cc071e9        etcd30              2.79%               220MiB / 62.13GiB     0.35%               0B / 0B             0B / 1.17MB         18
1f61c1c6fd60        etcd29              3.04%               231.5MiB / 62.13GiB   0.36%               0B / 0B             0B / 1.19MB         19
2381a9c9a085        etcd28              2.50%               273.8MiB / 62.13GiB   0.43%               0B / 0B             0B / 1.19MB         19
802a0fde6cc4        etcd27              2.21%               234.2MiB / 62.13GiB   0.37%               0B / 0B             0B / 1.18MB         19
ed89f75580cc        etcd26              1.87%               240.2MiB / 62.13GiB   0.38%               0B / 0B             0B / 1.16MB         19
1c9273fcf05a        etcd25              2.46%               231.9MiB / 62.13GiB   0.36%               0B / 0B             0B / 1.18MB         18
11cef25f2e66        etcd24              3.24%               292.8MiB / 62.13GiB   0.46%               0B / 0B             0B / 1.18MB         20
628c1a16d2f9        etcd23              4.00%               255MiB / 62.13GiB     0.40%               0B / 0B             0B / 1.16MB         20
bc0dd0803d8d        etcd22              2.30%               289.5MiB / 62.13GiB   0.46%               0B / 0B             0B / 1.19MB         18
fd77c5a253cb        etcd21              1.45%               227.7MiB / 62.13GiB   0.36%               0B / 0B             0B / 1.15MB         18
cd8af97946b8        etcd20              2.48%               283.3MiB / 62.13GiB   0.45%               0B / 0B             0B / 1.22MB         19
ff0072f36f32        etcd19              1.70%               288.2MiB / 62.13GiB   0.45%               0B / 0B             0B / 1.21MB         20
1c6d23da7abc        etcd18              2.50%               272.5MiB / 62.13GiB   0.43%               0B / 0B             0B / 1.22MB         18
8372aed432d4        etcd17              4.62%               310.7MiB / 62.13GiB   0.49%               0B / 0B             0B / 1.22MB         19
d9176dc12d84        etcd16              3.29%               278.6MiB / 62.13GiB   0.44%               0B / 0B             0B / 1.21MB         17
7bd570cccd99        etcd15              2.04%               251.7MiB / 62.13GiB   0.40%               0B / 0B             0B / 1.22MB         17
d8673f7c6363        etcd14              2.55%               300.3MiB / 62.13GiB   0.47%               0B / 0B             0B / 1.22MB         18
ffe2e16c8cff        etcd13              2.42%               260.7MiB / 62.13GiB   0.41%               0B / 0B             0B / 1.22MB         19
4b816c63c9b0        etcd12              1.16%               259.2MiB / 62.13GiB   0.41%               0B / 0B             0B / 1.26MB         18
d850618a12e1        etcd11              2.34%               293.1MiB / 62.13GiB   0.46%               0B / 0B             0B / 1.2MB          17
577c1c82788c        etcd10              3.49%               302.2MiB / 62.13GiB   0.47%               0B / 0B             0B / 1.23MB         19
835a9133f4d8        etcd9               3.33%               344.6MiB / 62.13GiB   0.54%               0B / 0B             0B / 1.2MB          17
0b353f8cea6a        etcd8               3.08%               315.3MiB / 62.13GiB   0.50%               0B / 0B             0B / 1.21MB         18
03f2d9476a6c        etcd7               12.71%              428.6MiB / 62.13GiB   0.67%               0B / 0B             0B / 1.16MB         24
66ab80b06b81        etcd6               2.66%               269.7MiB / 62.13GiB   0.42%               0B / 0B             0B / 1.26MB         18
17b1107f532a        etcd5               1.13%               290.4MiB / 62.13GiB   0.46%               0B / 0B             0B / 1.25MB         18
a0292a1af9fc        etcd4               2.43%               288MiB / 62.13GiB     0.45%               0B / 0B             0B / 1.23MB         18
5592eb3b1207        etcd3               2.55%               272.1MiB / 62.13GiB   0.43%               0B / 0B             0B / 1.22MB         19
3bfb37619821        etcd2               2.63%               278.7MiB / 62.13GiB   0.44%               0B / 0B             0B / 1.24MB         18
d45162a3bdc3        etcd1               2.17%               288.8MiB / 62.13GiB   0.45%               0B / 0B             0B / 1.27MB         17
5f1024a82cc2        etcd0               4.34%               289.2MiB / 62.13GiB   0.45%               0B / 0B             0B / 1.25MB         17
Percentage Leaving 40%
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
a5cd4cef13cb        etcd99              2.99%               57.71MiB / 62.13GiB   0.09%               0B / 0B             0B / 451kB          18
f63c3792e82d        etcd98              3.26%               57.84MiB / 62.13GiB   0.09%               0B / 0B             0B / 471kB          14
d262d1e6cfe5        etcd97              2.67%               57.93MiB / 62.13GiB   0.09%               0B / 0B             0B / 537kB          18
ddb46ba29f10        etcd96              2.58%               52.88MiB / 62.13GiB   0.08%               0B / 0B             0B / 545kB          16
38b2c86e4c3a        etcd95              2.37%               58.28MiB / 62.13GiB   0.09%               0B / 0B             0B / 528kB          17
9495dba1e96c        etcd94              2.65%               58.46MiB / 62.13GiB   0.09%               0B / 0B             0B / 582kB          21
10f885725740        etcd93              2.77%               58.18MiB / 62.13GiB   0.09%               0B / 0B             0B / 610kB          17
2379c30b0436        etcd92              2.64%               66.58MiB / 62.13GiB   0.10%               0B / 0B             0B / 557kB          19
3beacb1782db        etcd91              3.00%               66.8MiB / 62.13GiB    0.10%               0B / 0B             0B / 651kB          17
b089f210b02d        etcd90              2.73%               70.44MiB / 62.13GiB   0.11%               0B / 0B             0B / 578kB          17
92b188da71d8        etcd89              2.43%               77.58MiB / 62.13GiB   0.12%               0B / 0B             0B / 635kB          17
d853c6f8cd0f        etcd88              3.25%               76.27MiB / 62.13GiB   0.12%               0B / 0B             0B / 618kB          17
ef593a9e0c7b        etcd87              2.69%               79.15MiB / 62.13GiB   0.12%               0B / 0B             0B / 651kB          17
a1346c450449        etcd86              2.77%               75.22MiB / 62.13GiB   0.12%               0B / 0B             0B / 672kB          17
caaea1182d2d        etcd85              2.56%               80.46MiB / 62.13GiB   0.13%               0B / 0B             0B / 668kB          20
2a5c26e8f3c0        etcd84              2.71%               79.06MiB / 62.13GiB   0.12%               0B / 0B             0B / 668kB          19
acdd21055bad        etcd83              2.62%               75.55MiB / 62.13GiB   0.12%               0B / 0B             0B / 647kB          18
a1b468687587        etcd82              2.64%               83.84MiB / 62.13GiB   0.13%               0B / 0B             0B / 639kB          19
ae3e19e989fd        etcd81              2.52%               85.25MiB / 62.13GiB   0.13%               0B / 0B             0B / 696kB          19
f7b00263a849        etcd80              2.46%               103MiB / 62.13GiB     0.16%               0B / 0B             0B / 713kB          19
9fa303097887        etcd79              2.27%               109.7MiB / 62.13GiB   0.17%               0B / 0B             0B / 737kB          19
284cb4944748        etcd78              2.91%               101.4MiB / 62.13GiB   0.16%               0B / 0B             0B / 717kB          19
c460f73c470c        etcd77              2.70%               89.12MiB / 62.13GiB   0.14%               0B / 0B             0B / 688kB          19
ed36fb0bf2af        etcd76              2.65%               113.2MiB / 62.13GiB   0.18%               0B / 0B             0B / 754kB          18
7f99f0c6e181        etcd75              2.72%               119.4MiB / 62.13GiB   0.19%               0B / 0B             0B / 758kB          19
d29fb593f447        etcd74              2.72%               130.9MiB / 62.13GiB   0.21%               0B / 0B             0B / 807kB          21
23fd755d078b        etcd73              2.79%               129.2MiB / 62.13GiB   0.20%               0B / 0B             0B / 725kB          19
8bc990d6d3e5        etcd72              2.44%               128.7MiB / 62.13GiB   0.20%               0B / 0B             0B / 811kB          20
12d507485701        etcd71              2.63%               133.1MiB / 62.13GiB   0.21%               0B / 0B             0B / 811kB          17
5df048f463ed        etcd70              2.56%               137.9MiB / 62.13GiB   0.22%               0B / 0B             0B / 811kB          18
01f7418f6773        etcd69              27.51%              165.1MiB / 62.13GiB   0.26%               0B / 0B             0B / 864kB          20
b47e8ce0b5eb        etcd68              2.88%               139MiB / 62.13GiB     0.22%               0B / 0B             0B / 864kB          19
7c93b3bd97a3        etcd67              2.38%               146.6MiB / 62.13GiB   0.23%               0B / 0B             0B / 852kB          18
82cb431819c0        etcd66              2.44%               150.1MiB / 62.13GiB   0.24%               0B / 0B             0B / 868kB          18
f39c2644cacf        etcd65              3.04%               163.9MiB / 62.13GiB   0.26%               0B / 0B             0B / 864kB          18
f8c9da8fc87e        etcd64              2.98%               161.5MiB / 62.13GiB   0.25%               0B / 0B             0B / 889kB          17
2b746987cff3        etcd63              2.97%               145.7MiB / 62.13GiB   0.23%               0B / 0B             0B / 922kB          17
c5faf1741dca        etcd62              2.33%               177.1MiB / 62.13GiB   0.28%               0B / 0B             0B / 922kB          16
91f0565ede61        etcd61              2.55%               237.9MiB / 62.13GiB   0.37%               0B / 0B             0B / 893kB          22
6caad1a3b122        etcd60              2.85%               155.5MiB / 62.13GiB   0.24%               0B / 0B             0B / 918kB          18
6d56abd0807d        etcd59              2.63%               201.8MiB / 62.13GiB   0.32%               0B / 0B             0B / 897kB          17
97efa7ce8bd3        etcd58              2.77%               215MiB / 62.13GiB     0.34%               0B / 0B             0B / 971kB          18
cea6a3c81b42        etcd57              2.78%               215MiB / 62.13GiB     0.34%               0B / 0B             0B / 950kB          17
374c55f346ab        etcd56              2.42%               196.2MiB / 62.13GiB   0.31%               0B / 0B             0B / 934kB          17
666e70fff31b        etcd55              2.40%               227.7MiB / 62.13GiB   0.36%               0B / 0B             0B / 983kB          17
f67a518d4f1a        etcd54              2.88%               198.6MiB / 62.13GiB   0.31%               0B / 0B             0B / 1.03MB         17
c80baddebb66        etcd53              2.77%               218.6MiB / 62.13GiB   0.34%               0B / 0B             0B / 1.03MB         17
f09cd3ac6f87        etcd52              3.27%               188.7MiB / 62.13GiB   0.30%               0B / 0B             0B / 1.02MB         19
e2d74a1a5bb8        etcd51              2.65%               175.9MiB / 62.13GiB   0.28%               0B / 0B             0B / 979kB          18
905631b2d4c9        etcd50              2.76%               185.9MiB / 62.13GiB   0.29%               0B / 0B             0B / 1.02MB         18
f772f2170e3a        etcd49              2.92%               208.9MiB / 62.13GiB   0.33%               0B / 0B             0B / 1.04MB         18
cd53440e870d        etcd48              3.16%               207.2MiB / 62.13GiB   0.33%               0B / 0B             0B / 1.05MB         17
cbced6375ddb        etcd47              3.11%               250.9MiB / 62.13GiB   0.39%               0B / 0B             0B / 1.05MB         18
99954df480ca        etcd46              3.01%               219.3MiB / 62.13GiB   0.34%               0B / 0B             0B / 1.02MB         16
a482b062a38c        etcd45              2.12%               161.3MiB / 62.13GiB   0.25%               0B / 0B             0B / 1.03MB         18
849d9d78e343        etcd44              2.85%               205.8MiB / 62.13GiB   0.32%               0B / 0B             0B / 1.07MB         18
a0ec287f0e55        etcd43              2.60%               222.5MiB / 62.13GiB   0.35%               0B / 0B             0B / 1.04MB         18
