num 	 Acumtime 	 TimeIns
0 	 0.404 	 0.324
1 	 0.857 	 0.445
2 	 1.301 	 0.436
3 	 1.74 	 0.431
4 	 2.167 	 0.42
5 	 2.589 	 0.414
6 	 3.001 	 0.404
7 	 3.454 	 0.445
8 	 3.95 	 0.488
9 	 4.413 	 0.454
10 	 4.868 	 0.447
11 	 5.349 	 0.473
12 	 5.851 	 0.494
13 	 6.289 	 0.43
14 	 6.821 	 0.523
15 	 7.319 	 0.49
16 	 7.813 	 0.486
17 	 8.369 	 0.547
18 	 8.865 	 0.486
19 	 9.409 	 0.535
20 	 9.941 	 0.524
21 	 10.48 	 0.531
22 	 11.086 	 0.596
23 	 11.748 	 0.65
24 	 12.341 	 0.583
25 	 12.972 	 0.619
26 	 13.583 	 0.601
27 	 14.253 	 0.661
28 	 14.899 	 0.637
29 	 15.58 	 0.67
30 	 16.246 	 0.657
31 	 16.992 	 0.732
32 	 17.688 	 0.679
33 	 18.416 	 0.715
34 	 19.219 	 0.786
35 	 20.065 	 0.834
36 	 20.919 	 0.846
37 	 21.727 	 0.792
38 	 22.435 	 0.697
39 	 23.142 	 0.698
40 	 23.865 	 0.711
41 	 24.691 	 0.811
42 	 25.596 	 0.885
43 	 26.498 	 0.89
44 	 27.298 	 0.788
45 	 28.078 	 0.772
46 	 28.876 	 0.786
47 	 29.707 	 0.814
48 	 30.546 	 0.821
49 	 31.243 	 0.688
50 	 32.26 	 1.008
51 	 33.234 	 0.965
52 	 34.239 	 0.988
53 	 35.161 	 0.91
54 	 36.027 	 0.858
55 	 36.934 	 0.895
56 	 38.055 	 1.112
57 	 38.993 	 0.927
58 	 39.998 	 0.994
59 	 40.822 	 0.812
60 	 41.92 	 1.09
61 	 42.862 	 0.926
62 	 44.138 	 1.268
63 	 45.095 	 0.945
64 	 45.949 	 0.838
65 	 46.859 	 0.897
66 	 47.954 	 1.084
67 	 49.074 	 1.112
68 	 49.961 	 0.877
69 	 50.891 	 0.914
70 	 51.954 	 1.052
71 	 52.935 	 0.97
72 	 53.785 	 0.837
73 	 54.695 	 0.9
74 	 56.073 	 1.366
75 	 57.405 	 1.317
76 	 58.408 	 0.986
77 	 59.336 	 0.918
78 	 60.265 	 0.915
79 	 61.106 	 0.827
80 	 62.134 	 1.016
81 	 63.17 	 1.019
82 	 64.236 	 1.052
83 	 65.185 	 0.935
84 	 66.724 	 1.529
85 	 68.01 	 1.271
86 	 69.052 	 1.03
87 	 70.156 	 1.092
88 	 71.149 	 0.981
89 	 72.036 	 0.872
90 	 72.866 	 0.814
91 	 73.808 	 0.931
92 	 74.853 	 1.031
93 	 75.903 	 1.039
94 	 77.006 	 1.089
95 	 77.939 	 0.924
96 	 78.888 	 0.936
97 	 79.759 	 0.857
98 	 80.582 	 0.812
99 	 81.401 	 0.809
TOTAL100 	 87.512
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
56ec70bf8f26        etcd99              2.59%               57.46MiB / 62.13GiB   0.09%               0B / 0B             0B / 463kB          14
8a1b02d1db6e        etcd98              2.85%               57.67MiB / 62.13GiB   0.09%               0B / 0B             0B / 471kB          15
4c6081b96e7c        etcd97              2.98%               56.96MiB / 62.13GiB   0.09%               0B / 0B             0B / 512kB          14
76b31cccb3eb        etcd96              3.09%               54.21MiB / 62.13GiB   0.09%               0B / 0B             0B / 541kB          17
c6059029d68c        etcd95              2.52%               58.78MiB / 62.13GiB   0.09%               0B / 0B             0B / 528kB          15
eafa7d473e70        etcd94              2.71%               60.24MiB / 62.13GiB   0.09%               0B / 0B             0B / 532kB          18
3716dee94d82        etcd93              2.87%               66.95MiB / 62.13GiB   0.11%               0B / 0B             0B / 573kB          18
a3895d995b65        etcd92              2.48%               69.61MiB / 62.13GiB   0.11%               0B / 0B             0B / 549kB          18
9674791d64a9        etcd91              2.48%               87.14MiB / 62.13GiB   0.14%               0B / 0B             0B / 610kB          17
961cf5483809        etcd90              3.38%               70.42MiB / 62.13GiB   0.11%               0B / 0B             0B / 598kB          22
52ba4147de26        etcd89              3.15%               71.75MiB / 62.13GiB   0.11%               0B / 0B             0B / 549kB          17
fcaecb1d68ab        etcd88              2.51%               81.49MiB / 62.13GiB   0.13%               0B / 0B             0B / 590kB          18
22d0367b2502        etcd87              2.66%               91.16MiB / 62.13GiB   0.14%               0B / 0B             0B / 565kB          19
b88ef41b41a0        etcd86              2.76%               72.16MiB / 62.13GiB   0.11%               0B / 0B             0B / 557kB          18
613b4ed021f8        etcd85              2.78%               76.01MiB / 62.13GiB   0.12%               0B / 0B             0B / 553kB          19
98fc0b21b9eb        etcd84              2.51%               98.64MiB / 62.13GiB   0.16%               0B / 0B             0B / 606kB          21
ef34372b3c51        etcd83              2.86%               83.5MiB / 62.13GiB    0.13%               0B / 0B             0B / 651kB          17
1c37fe1ee1c0        etcd82              2.65%               82.4MiB / 62.13GiB    0.13%               0B / 0B             0B / 643kB          18
0df4f72f9ecd        etcd81              2.39%               90.22MiB / 62.13GiB   0.14%               0B / 0B             0B / 635kB          21
5e8585bf1a08        etcd80              2.61%               114MiB / 62.13GiB     0.18%               0B / 0B             0B / 664kB          21
5c6840a0c964        etcd79              3.00%               121MiB / 62.13GiB     0.19%               0B / 0B             0B / 717kB          19
95c118d09c98        etcd78              2.98%               107MiB / 62.13GiB     0.17%               0B / 0B             0B / 705kB          18
fb62f5e3ab71        etcd77              2.58%               102.9MiB / 62.13GiB   0.16%               0B / 0B             0B / 713kB          21
0b8c9f511db6        etcd76              2.70%               99.86MiB / 62.13GiB   0.16%               0B / 0B             0B / 750kB          19
471a718c85f3        etcd75              2.80%               110.9MiB / 62.13GiB   0.17%               0B / 0B             0B / 737kB          20
54ba18dfdf14        etcd74              2.64%               103.9MiB / 62.13GiB   0.16%               0B / 0B             0B / 705kB          20
ea362b590904        etcd73              2.81%               120MiB / 62.13GiB     0.19%               0B / 0B             0B / 754kB          22
1f209bea5539        etcd72              2.84%               119.4MiB / 62.13GiB   0.19%               0B / 0B             0B / 774kB          19
036c1d28a74c        etcd71              2.92%               134.9MiB / 62.13GiB   0.21%               0B / 0B             0B / 786kB          20
6e95187355fa        etcd70              2.86%               144.8MiB / 62.13GiB   0.23%               0B / 0B             0B / 807kB          19
b95c750cdc1d        etcd69              2.77%               143.9MiB / 62.13GiB   0.23%               0B / 0B             0B / 803kB          19
dedee5fa0b36        etcd68              2.28%               138.8MiB / 62.13GiB   0.22%               0B / 0B             0B / 795kB          18
d349d437d2d7        etcd67              2.79%               111.4MiB / 62.13GiB   0.18%               0B / 0B             0B / 864kB          17
11a664ba7d69        etcd66              2.78%               154.5MiB / 62.13GiB   0.24%               0B / 0B             0B / 823kB          17
f1e1741c6094        etcd65              2.46%               143.5MiB / 62.13GiB   0.23%               0B / 0B             0B / 856kB          19
c1b447d187ac        etcd64              2.43%               159.4MiB / 62.13GiB   0.25%               0B / 0B             0B / 856kB          17
0017e3f037e1        etcd63              2.71%               164.4MiB / 62.13GiB   0.26%               0B / 0B             0B / 877kB          18
d5312a3ab727        etcd62              3.12%               180.9MiB / 62.13GiB   0.28%               0B / 0B             0B / 881kB          16
6169315fcff2        etcd61              2.58%               175.2MiB / 62.13GiB   0.28%               0B / 0B             0B / 913kB          17
3f4fbf60fe75        etcd60              2.77%               188.1MiB / 62.13GiB   0.30%               0B / 0B             0B / 946kB          17
680b3badbd06        etcd59              2.53%               166.4MiB / 62.13GiB   0.26%               0B / 0B             0B / 954kB          18
a5e8d3cabac1        etcd58              2.81%               183.1MiB / 62.13GiB   0.29%               0B / 0B             0B / 922kB          18
b734ae24dea8        etcd57              2.81%               167.7MiB / 62.13GiB   0.26%               0B / 0B             0B / 1MB            16
06a66bb36c58        etcd56              2.46%               213.3MiB / 62.13GiB   0.34%               0B / 0B             0B / 991kB          16
b8abf1d73268        etcd55              2.93%               216.8MiB / 62.13GiB   0.34%               0B / 0B             0B / 999kB          18
ec9f4e26d2aa        etcd54              2.86%               182.2MiB / 62.13GiB   0.29%               0B / 0B             0B / 1.02MB         18
ea530c566963        etcd53              2.71%               232.1MiB / 62.13GiB   0.36%               0B / 0B             0B / 1.04MB         18
fc764b1d4444        etcd52              2.40%               194.1MiB / 62.13GiB   0.31%               0B / 0B             0B / 1.01MB         18
e4a8d4bab117        etcd51              2.50%               223.9MiB / 62.13GiB   0.35%               0B / 0B             0B / 1.06MB         17
3d126b889c01        etcd50              2.67%               178.9MiB / 62.13GiB   0.28%               0B / 0B             0B / 1.08MB         18
87792b200df9        etcd49              2.37%               182MiB / 62.13GiB     0.29%               0B / 0B             0B / 1.06MB         19
288a5b181d2f        etcd48              2.70%               176.4MiB / 62.13GiB   0.28%               0B / 0B             0B / 1.12MB         16
0e8da126e00b        etcd47              2.85%               141.4MiB / 62.13GiB   0.22%               0B / 0B             0B / 1.13MB         20
a8c3d92722f4        etcd46              3.08%               211.6MiB / 62.13GiB   0.33%               0B / 0B             0B / 1.11MB         18
12ec40aa0be3        etcd45              2.47%               209.2MiB / 62.13GiB   0.33%               0B / 0B             0B / 1.11MB         17
d0b8d099fe88        etcd44              2.89%               198.8MiB / 62.13GiB   0.31%               0B / 0B             0B / 1.11MB         18
f4682e7b5589        etcd43              2.42%               275.7MiB / 62.13GiB   0.43%               0B / 0B             0B / 1.09MB         18
9f297a0fd581        etcd42              3.25%               179.7MiB / 62.13GiB   0.28%               0B / 0B             0B / 1.08MB         19
5a55afd6a4b9        etcd41              2.99%               218.3MiB / 62.13GiB   0.34%               0B / 0B             0B / 1.13MB         20
