Nodes raspberrypi-new1-eth0,raspberrypi-new2-eth0
Name 	 Num 	 Acumtime 	 TimeIns
raspberrypi-new1-eth0 	 0 	 3 	 2
raspberrypi-new2-eth0 	 1 	 5 	 2
Total Cluster Creation Time [5]
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT   MEM %               NET I/O             BLOCK I/O           PIDS
b3035010894c        etcd0               4.12%               3.699MiB / 32MiB    11.56%              0B / 0B             0B / 61.4kB         0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT   MEM %               NET I/O             BLOCK I/O           PIDS
53213a6b3d3b        etcd1               3.72%               3.66MiB / 32MiB     11.44%              0B / 0B             0B / 77.8kB         0
