num 	 Acumtime 	 TimeIns
1 	 17 	 17
2 	 36 	 18
3 	 55 	 18
4 	 75 	 18
5 	 97 	 20
6 	 118 	 20
7 	 140 	 20
8 	 162 	 21
9 	 186 	 20
10 	 211 	 23
TOTAL10 	 213
