num 	 Acumtime 	 TimeIns
0 	 2 	 2
1 	 3 	 1
2 	 6 	 3
3 	 8 	 2
4 	 14 	 6
5 	 20 	 6
6 	 25 	 5
7 	 31 	 6
8 	 39 	 8
9 	 48 	 9
TOTAL10 	 79
